host,name
www.zhipin.com,"['机票产品', '直订', '新美大', '回家么']"
www.etuan.com,['团网']
www.ccyl.org.cn,['团网']
www.qu.cn,['到哪儿']
www.ganshane.cn,"['干啥呢', '干啥']"
www.shijiebang.com,['世界邦']
www.genshuixue.com,"['跟谁', '跟谁']"
www.mayi.com,"['商务酒店', '商务宾馆', '家庭宾馆', '家庭宾馆', '蚂蚁短租', '蚂蚁短租', '住宿选择']"
www.10101111.com,['神州专车']
www.ganji.com,"['神州专车', '58赶集']"
www.clubvvc.com,['度假产品']
www.7daysinn.cn,"['七天酒店', '7天连锁', '连锁宾馆', '七天快捷酒店', '七天假日酒店', '天连锁酒店', '7天酒店', '快捷连锁']"
www.hao315.com,['富驿酒店']
www.fxhotelsgroup.com,['富驿酒店']
www.mafengwo.cn,"['蚂蜂窝', '蚂蜂窝', '当地游', '当地游', '蚂蚁窝', '住哪儿', '住哪儿', '马蜂', '哪里', '马蜂包', '捅蜂窝', '蜂窝', '蜂窝', '蚂蜂', '蚂蜂', '野蜂窝', '野蜂窝', '蜂窝的', '鹰巢']"
mip.ttrar.com,['住哪里']
www.gaosan.com,['在树上']
www.zybang.com,['在树上']
www.dlhis.com,['信用住']
www.hishop.com.cn,"['信用住', '旅游o2o']"
www.travelzen.com,['真旅网']
www.travelzen.com.cn,['真旅网']
menpiao.tuniu.com,['景区门票预订']
www.orangehotel.com.cn,['桔子水晶']
weapon.huanqiu.com,['炸弹']
www.cidianwang.com,"['群起攻之', '窟窿眼']"
www.cihai123.com,['群起攻之']
www.caissa.com.cn,['凯撒旅游']
zh.caissa.de,['凯撒旅游']
www.bigant.cn,['大蚂蚁']
www.duote.com,['大蚂蚁']
www.leawin.com,['酒店领域']
www.xiaoyaolvxing.com,['收客']
a.app.qq.com,['大蜂窝']
www.joyu.com,['景域集团']
news.cnstock.com,['景域集团']
taocan.ctrip.com,"['机酒', '机+酒']"
pages.ch.com,"['机酒', '机+酒']"
www.5fen.com,['机酒']
www.8pig.com,['8只小猪']
www.hao123.com,['炸平']
www.meishij.net,['炸平']
www.accorhotels.com,['铂尔曼']
wx.meituan.com,['美团网']
v.qq.com,['被射']
zuche.com,['神州租车']
stock.10jqka.com.cn,['神州租车']
music.douban.com,['走了吗']
www.55tuan.com,['窝窝团']
sj.zol.com.cn,['窝窝团']
www.cits.cn,['当地游']
www.naliwan.com,['哪玩']
wuxi.lotour.com,['哪玩']
www.99inn.cc,"['99连锁', '99旅馆']"
www.cz-hb.com,['解放路店']
m.158752.vip,['解放路店']
www.lvmama.com,"['驴妈妈网', '驴妈妈旅游网', '驴妈妈']"
www.jjql.com.cn,"['驴妈妈网', '驴妈妈旅游网', '游多多']"
